문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
성형비용지원돼서 젊은 탈북민들은 대부분 성형함,0,1,0,0,0,0,0,0,0,0
집에서도 직장에서도 날 못잡아먹어 안달이더라 난 그냥 가만히 있는데,0,0,0,0,0,0,0,1,0,0
양키꺼만 보는 놈 말하는 거다,0,1,0,0,0,0,0,0,0,0
후장친구가 하다가 죽는 걸 봐도 그 맛을 못잊어서... 참 미개하다 똥꼬충들이 에이즈 동물들한테 옮아서 인류한테 아직도 옮기고 다니고 있다,1,0,0,0,0,0,0,0,0,0
20대여자는 심각하노,0,0,0,0,0,0,0,0,0,1
사건의 전말,0,0,0,0,0,0,0,1,0,0
그씨발놈의 동포동포 는 씨발 그냥 조선족이지 뭔 동포야 씨발꺼,0,1,0,0,0,0,0,0,0,0
우리나라에 중국조선족 자치구 많이 생겼잖노,0,1,0,0,0,0,0,0,0,0
서울로 싹 보내버려라 저 씹버러지들한테 한번 당해봐야지 ㅋ,0,0,0,1,0,0,0,0,0,0
"제국주의 관점으로 봤을 때 중동, 북아프리카 놈들은절대 유럽 욕하고 피해자 코스프레 하면 안됨유럽 열강들이 하던 온갖 패악질들 모두 다지들이 그 전에 하다가 힘 대결에 밀려서 뺏긴거임 ㅋㅋ",0,1,0,0,0,0,0,0,0,0
고맙게 생각한다 병신아 너 같이 맨날 조선조한테 짱깨라고 놀리는 새끼들 땜에 힘든거지,0,1,0,0,0,0,0,0,0,0
내가 글을 흑좆나 이해못하게 쓰는거노 ? 평균이 큰게 아니라고. 제목만 보는거노,0,1,0,0,0,0,0,0,0,0
당시 인천 부산은 지금의 중공 수준 정도라고 생각한다,0,1,0,1,0,0,0,0,0,0
무슬림새끼들 조상은 돼지고기 잘먹었음 이게팩트,0,1,0,0,1,0,0,0,0,0
개새끼들아 한국놈이 난민을 헤꼬지했다곤 생각안하냐,0,0,0,0,0,0,1,0,0,0
저건 또 어느 좆족들이 만든거노?,0,1,0,0,0,0,0,0,0,0
무슬림 개새끼들 그냥 중동에 모여서 살길. 이 개새끼들은 짱깨와 다르게 말도 안통하는 존재들이다. 중동에 가둬놓고 상종안하는게 답.,0,1,0,0,0,0,0,0,0,0
그래도 쟤들은 지들도 한국인이라고 우기면서 뭘 요구하지는 않지,0,1,0,0,0,0,0,0,0,0
애초에 동성애가 정신병인데 정신병 걸린애들이 무슨 인정이야 인정은 ㅋㅋㅋㅋㅋㅋ,1,0,0,0,0,0,0,0,0,0
개슬람 좆족 짱깨는 무조건 시행해야지,0,1,0,0,1,0,0,0,0,0
끄지라 니 나라로,0,1,0,0,0,0,0,0,0,0
어휴 씨발 개독들 극혐 우한폐렴 이렇게 극성인데 굳이 예배 따위 해야 되냐 ㅅㅂ 이럴 땐 교회 좀 가지 마라,0,1,0,0,1,0,0,0,0,0
첫짤은 근데 맞지 않냐,0,0,0,0,0,0,0,1,0,0
너련 말이 맞노 중국도 개돼지 많아서 유행 타는 시기가 좆국처럼 빠르노 중국홍콩 있으면서 한류 때문에 코르셋 하나씩 주워드는꼴보고 기함했노 현재 여자 아이돌 위주 한류 같은것도 사실상 사라져야하노,0,1,0,0,0,0,0,0,0,0
빨간색 양키같은놈 똥꼬충이면 존나 무섭겠노 시발,1,1,0,0,0,0,0,0,0,0
싸보이진 않음... 1인분 200g 치면 곱하기 1.6배를 해야 본래가격이 나온다,0,0,0,0,0,0,0,1,0,0
골빈년들 몰살시키고싶다,0,0,0,0,0,0,0,0,0,1
프랑스는 병신된지 오래된 국가,0,1,0,0,0,0,0,0,0,0
후팔 자다가 웜 켜서 보고 스크랩했노. 나름 메갈 때부터 달렸는데.. 쉬익쉬익 소중한 자료 고맙다 이니야,0,0,0,0,0,0,1,0,0,0
좋은 정보 ㄱㅅ,0,0,0,0,0,0,0,1,0,0
"전복을 전복이라 부르지 못허더니,.,.",0,0,0,0,0,0,0,1,0,0
홍콩이 반환후에도 이전처럼 자치구 형태로 굴러간단말이냐?,0,0,0,0,0,0,0,1,0,0
다문화ㅅㅂ,0,1,0,0,0,0,0,0,0,0
니네들 팩션 잘 골라라 지금 똥꼬충들 건드릴 시즌 아니다,1,0,0,0,0,0,0,0,0,0
광주광역시교육청 + 전라남도교육청 + 전라북도교육청왜 전라도 씨발 홍어새끼들만 셋이냐?,0,0,0,1,0,0,0,0,0,0
난 개인적으로 짱깨보다 무슬림 개씹새끼들이 더미개하다가끔 구내식당에서 무슬림 개새끼들 밥처먹는거보면 개좃같다 개병신씹새끼들,0,1,0,0,1,0,0,0,0,0
한달연봉 600만원 ㅍㅌㅊ?,0,0,0,0,0,0,0,1,0,0
