문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
^한녀충^은 안 되지만 젠신병자 똥꼬충 여혐은 상관없당께~,1,0,0,0,0,1,0,0,0,0
등산할때 음악틀고 다니는 십새끼들 때문에 개빡침못배워 쳐먹은 뻔뻔한 틀딱들,0,0,1,0,0,0,0,0,0,0
걍 정신병자들은 니들끼리 놀아라 좀.. 멀쩡한 무리에 낄려고 하지말고 지들이 똥인걸 모르나,0,0,0,0,0,1,0,0,0,0
조선인은 큰 소리치면 해결되는데 ㅋㅋㅋ 증거있냐고 고소해라고 배짱부리면 됨,0,0,0,0,0,0,0,1,0,0
ㅇㅇ 기존의 제도를 무너뜨리는게 민좆당에게 나쁠건 없지,0,0,0,0,0,1,0,0,0,0
아는여자가한명도없는좆민수존민수지잡대진심악덕업주좆민수,0,0,0,0,0,1,0,0,0,1
정신병자들은...정부에서...강제로 집단수용소로 보내야돼...구역질 난다....,0,0,0,0,0,1,0,0,0,0
한국은 사이비들땜에 침몰중,0,0,0,0,1,0,0,0,0,0
내 주변에 여자들 지입으로도 취집이나 해야겠다는 애들 종종 있다 저런걸로 해임까지가냐 참내,0,0,0,0,0,0,0,1,0,0
호봉제+빨갱이노조 가 판치는 우리나라에는 들어오면 절대 안 되지~ 트-ㄹ니들이 앉아서 일은 안 하고 시키기만 할테고 청년들은 정규직으로 돈 벌 생각 못 하고 알바나 알아보는 세상이 되고 말거다.,0,0,1,0,0,1,0,0,0,0
저 틀딱이나 저 여자나 존나 웃기는게 서로 쿨하게 넘긴다는 것이지 마치 늘 있었던 일인 것 마냥 쿨한 듯?허벅지 스캔하는 것도 한 두번한 실력이 아님.,0,0,1,0,0,0,0,0,0,0
내 중학교 동창이 자기아빠가 농협이사라 농협에 취업해서 몇달 다니다 사직서쓰고나옴 ㅋㅋㅋ 지금 좃소다님 ㅋㅋ,0,0,0,0,0,1,0,0,0,0
젠신병자들 다 군대 끌고가서 육방패 제1호로 써야 함,1,0,0,0,0,1,0,0,0,0
니가가서 머리끄댕이 잡고 얼굴노출시키던가,0,0,0,0,0,0,1,0,0,0
내가 처음 일베를 접한 12년도 ..그당시 고2였지...벌써 내년에 24이다,0,0,0,0,0,0,0,1,0,0
똥꼬충은 모조리 죽여야 해.,1,0,0,0,0,0,0,0,0,0
성차별 ㄴㄴ 정실질환인 사람을 뽑지 않겠다는건데 뭐가 문제지,0,0,0,0,0,1,0,0,0,0
경찰이 무능한건 백번 양보해서 어쩔수없다 쳐...근데 범법은 아니잖아 진짜 ㅠㅠ,0,0,0,0,0,1,0,0,0,0
김태훈 : 합부르크왕가 턱이라 별명 턱후니. 함몰자지. 좆스쿨다니는 상폐자지 상폐인데 미필이라 열폭감에쩔어있음. 피부에 좆드름남. 170cm,0,0,0,0,0,1,0,0,1,0
결혼무효화라 웃기는군,0,0,0,0,0,0,0,1,0,0
