문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
진중권이 나이가 60대에 근접하니 요새 20대 남자들이 부딪히는 페미문제에 대해 무지할수 밖에. 중권이 틀ㄸ티가 난다.,0,0,1,0,0,0,0,0,1,0
커뮤에서 워마드 싫어하는 이유는 결론적으로 남자때문 아니노 그놈의 남자못잃어 어휴 답답하노 다 늙은 상폐자지 뭐가 좋다고,0,0,1,0,0,0,0,0,0,1
실수한 거 있냐고 묻는데 바빠서 모르겠다니 헛소리 잘 한다,0,0,0,0,0,0,1,0,0,0
기분조지네 애새끼들 존나 꼴보기 싫음,0,0,1,0,0,0,0,0,0,0
코로나=틀딱병,0,0,1,0,0,0,0,0,0,0
반페미 어쩌구 하는 애들 관상 참 동일함 ㅋ 뭐든 적당히를 모르는 애들 극혐,0,0,0,0,0,1,0,0,0,0
급식충 새끼야 개지랄떨지말고딸딸이나 한번 더치고 공부해라,0,0,1,0,0,0,0,0,0,0
틀딱들은 최태민이랑 박근혜가 ㅅㅅ한 팩트도 인정안함홍어패는 전두환도 좆족홍어라고 함,0,1,1,1,0,0,0,0,1,0
지금 꼰대중 좌빨이 많은 이유가 오씨팔세대가 교련 반공교육을 지겹도록 들은데 대한 반감임. 그게 애들은 힙스터기질이 있어서 그런건데 반대로 저렇게 전교조 사상 강요하면 학생들은 그 반대로 간다,0,0,1,0,0,0,0,0,0,0
토나온다 개슬람새끼들,0,0,0,0,1,0,0,0,0,0
ㅋㅋㅋ 세상에 14학번... 꼬꼬마새끼들이 저러고 노는거생각하니까 어처구니가 없네 ㅋㅋ,0,0,1,0,0,0,0,0,0,0
일베가 대단함을 느낌,0,0,0,0,0,0,0,1,0,0
하지말라는걸 하지말라는데 왜 굳이하는지,0,0,0,0,0,0,1,0,0,0
박사모노인들의 패드립은 전혀 웃기지도 않고 혐오감만 드노...,0,0,1,0,0,0,0,0,0,0
그럼 신천지는 왜 아우팅했는데요? 성소수자들 차별이 아니라 특혜인데?,1,0,0,0,0,0,0,0,0,0
영화가 아니고 소개팅 여자인줄 알았나 보지,0,0,0,0,0,0,0,1,0,0
무개념 틀딱에겐 몽둥이가 약인데 세상 잘만나서 안쳐맞고 다니는걸 고맙게 생각을 못하네,0,0,1,0,0,0,0,0,0,0
틀딱들은 아가리 쳐닫고 있는게 도와주는거다,0,0,1,0,0,0,0,0,0,0
사회의 진정한 미래를 보여주는 급식충. 우리의 미래입니다.,0,0,1,0,0,0,0,0,0,0
전에는 서울부산 순으로 날씨 알려주다가 요즘은 서울 전라도 순이더라ㅋ,0,0,0,0,0,0,0,1,0,0
딱딱딱따- 따닷딱-! 딱딱딱딱따- 딱딱딱! 딱딱딱딱딱딱딱딱딱 딱딱 딱딱 딱딱딱 틀틀틀틀-!,0,0,1,0,0,0,0,0,0,0
좆팔 재기나 할 것이지 똥배 상폐 극혐이노,0,0,1,0,0,0,0,0,0,0
어르신: 초면부터 존댓말 틀딱: 초면부터반말,0,0,1,0,0,0,0,0,0,0
급식충 솔직히 환영한다근데 좆고딩만,0,0,1,0,0,0,0,0,0,0
딱딱딱 ㅋㅋㅋ,0,0,1,0,0,0,0,0,0,0
에효 말세다 말세야,0,0,0,0,0,0,1,0,0,0
동포는 시발 축구 한중전에 중국 응원하는 새끼들이,0,1,0,0,0,0,0,0,0,0
틀딱들 도서관에서든 걸어다닐 때든 아무렇지 않게 방구뀜 할머니들은 안그러지 않음?,0,0,1,0,0,0,0,0,0,0
다문화 1호 존나 빡치네 개누리 ㅅㅂ,0,1,0,0,0,0,0,0,0,0
글쓴놈아 가가가가가가가가가가 이거는 뭔지 맞춰봐라,0,0,0,0,0,0,1,0,0,0
이러나 저러나 빡대가리 어린 김치년들은 사기쳐먹기 딱 좋은 대상인듯,0,0,1,0,0,0,0,0,0,1
ㅋㅋㅋㅋㅋㅋ 왠지 존나 빨갱이많은 사이트노40대 50대 빨갱이비울 제일높더라,0,0,1,0,0,0,0,0,0,0
조만간 홍어들이 우범곤을 소환합니다,0,0,0,1,0,0,0,0,0,0
저게도 조선족새끼들이 숨어들어있겠지,0,1,0,0,0,0,0,0,0,0
고추서요?1,0,0,1,0,0,0,0,0,0,0
쭉빵에 십대 어떻게 연락해보려고 가는 상폐남들 많잖아. 앙톡같은걸로 성매매 시도도 앵나할거고 지들 걸릴까봐 그랬나봄,0,0,1,0,0,0,0,0,0,1
"아이들의 꿈과 희망의 상징인 무지개를 본인들 성적 욕망의 상징으로, 역시 개 변태들",1,0,0,0,0,0,0,0,0,0
"인생 정리하시요. 무슨 낮으로 당신 가정을 이끌것이며, 대통령과 당신을 지금 그자리에 있게한 당은 무슨 염치로... 결단이 필요하다고 보이지 않소.",0,0,0,0,0,0,1,0,0,0
"ㅋㅋㅋㅋㅋ 한남들 좆작다,못생겼다고 하면 꼴페미노? 사실인뎈ㅋㅋ",0,0,0,0,0,0,0,0,0,1
진심인데 세계에서 다같이 합심해서 이슬람하고 전면전 한번 벌여야할것같아..,0,0,0,0,1,0,0,0,0,0
한국 남자 특징: 성폭행 사건 보고 가해자 부러워 함,0,0,0,0,0,0,0,0,0,1
왜냐면 죽은 다음에 수십명의 여자들과 섹스를 할 수 있는 천국에 갈 것이 예약되어 있기 때문에,0,0,0,0,1,0,0,0,0,0
이런 새끼가 나이 쳐먹으면 개같은 틀딱되는거임,0,0,1,0,0,0,0,0,0,0
선민사상에 취한 것도 정도가 있지.지옥간다는 둥 협박이나 해대는 잡신이나 개독들이나 ㅋㅋ우주가 얼마나 넓은데 지구에서 믿는 사막잡신이 우주를 만들어 대깨문 공산주의 새끼들이나 니들이나 대가리 깨진 건 동급이야.,0,0,0,0,1,0,0,0,0,0
본네트가 간지네..,0,0,0,0,0,0,0,1,0,0
틀딱까는글은 2ㅂ,0,0,1,0,0,0,0,0,0,0
인두로 지져버리면 을마나 재밌게^요^,0,0,0,0,0,0,1,0,0,0
진짜 틀딱586새끼들 도스게임은동킹콩 페르시아의 왕자남북전쟁이다,0,0,1,0,0,0,0,0,0,0
무슨 상관이냐... 대체. 장미를 장미라고 부르던 다른 이름으로 부르던간에 장미는 장미일 뿐인 것처럼. 생리가 끄노어지는 걸 폐경이라 부르던 완경으로 부르던 뭣이 중헌디...중요한 건 이제 끊  겼다는 것이지,0,0,0,0,0,0,0,0,0,1
제발 행동으로옮겨서 틀딱새끼들 면상에 빵꾸낫으면좋겟다 그,0,0,1,0,0,0,0,0,0,0
불교와 이슬람의 지옥은 죽지도 못함. 고문이 목적임.,0,0,0,0,1,0,0,0,0,0
하 댓글보니 급식충 새끼들이 진짜 노답인걸 보여주네. 자신이 잘못한걸 생각안하고 저딴 개소리 씨부리는거보니 요즘 급식충들이 얼마나 기어오르는지 훤히보인다,0,0,1,0,0,0,0,0,0,0
"구주소 신주소 다써놓으면 둘중 하나 안돼도 나머지걸로 검색하면돼서 오히려 편함 그래서 배달보이들이 더 군말없던데? 저새끼는 걍 진짜 여자라서 걍 시비터는거임 틀딱새끼가""",0,0,1,0,0,0,0,0,0,0
그냥 드라마자나 씹병신새끼야.그렇게 따지면 좆본 새끼들은 우주에서 지들이 무슨 짱먹는 영화도 있는데 그 김탁구 주연에.그건 괜찮냐 씹등신 새끼들아?? 카~악 퉷!.독도는 우리땅!,0,1,0,0,0,0,0,0,0,0
너무 일찍 어른이 되었지만 또 진짜 어른이 되었네요 엄마 딸 모두 행복하길~,0,0,0,0,0,0,0,1,0,0
또또 아침부터 틀딱타령시작됐노 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,1,0,0,0,0,0,0,0
여자 가슴은 남자 가슴으로 비교해야짘ㅋㅋㅋㅋㅋㅋ 물론 냄져 여유충말고 근육가슴냄져ㅋㅋㅋㅋㅋㅋ 여자 가슴을 남자 꼬추로 비교하는거 한남좆처럼 미개,0,0,0,0,0,0,0,0,0,1
비계때문에 흑린이 좃도 반정도 들어가니 만족하지못함 저거들 보지주변 비계등어리 해결못암 야구 베트로 할상 슈셔야함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,1,0,0,0,0,0,0,1
"그럴수밖에 없는게 일본의 현재 노인들은 인당 소득 4~5만달러 찍던 70~90년대를 젊은시절로 보내며 선진 마인드와 매너를 익힌 세대이지만, 한국의 현재 노인들은 같은 기간 인당 소득 7천~1만달러의 후진국 수준에서 젊은 시절을 보냈기에 민도와 매너가 후진국 수준임",0,1,1,0,0,0,0,0,0,0
극우 틀딱들 관심없음 ㅋㅋㅋ,0,0,1,0,0,0,0,0,0,0
목사는 무슨. 걍 사기꾼에 난봉꾼에 성폭행범 범죄자일뿐. 좋아하는 하느님 곁에 걍 빨리 보내주자.,0,0,0,0,1,0,0,0,0,0
유충낙태에티켓 쫌,0,0,1,0,0,0,0,0,0,1
아웃라이어 읽었나,0,0,0,0,0,0,0,1,0,0
틀니압수 함부로하면 뒤진다는 교훈을주노;; ㄷㄷ,0,0,1,0,0,0,0,0,0,0
조선년들 난민한테 당했으면 좋겠다,0,0,0,0,0,0,0,0,0,1
"ㅋㅋ 분탕새끼 발작 났네.. 틀딱 편드는게 아니라 니새끼같은 분탕 바퀴새끼 걸르는 거라는거, 진짜 몰라서 이딴 병신글 쓰는거냐?",0,0,1,0,0,0,0,0,0,0
이딴 소설 믿는.딱딱충들이 있긴.있냐?,0,0,1,0,0,0,0,0,0,0
그러면 그렇지...,0,0,0,0,0,0,0,1,0,0
잠지는 유충의 꼬추 아니노?,0,0,1,0,0,0,0,0,0,1
