문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
"서울 새끼들 서울 제외하고 나머지 도시는 다 시골이라고 무시하는데 통일되면 북한은 향,부곡,소 쯤 되는거냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0,0,0,1,0,0,0,0,0,0
이얘기 10 년 전으로 가서 우리 집사람 한테 좀 해줘라,0,0,0,0,0,0,0,1,0,0
독일이 동성애 통과 시키고 바로 잘 살고 있나요? 제대로 알고 말씀 하시죠.,1,0,0,0,0,0,0,0,0,0
홍어새끼들이나 지방 촌것들이 멀알겟냐ㅋㅋㅋㅋ 나도 강남 살고있는데 주변 사람들 다 이민갈려하고 자식새끼들 다 해외보내고 잇는중ㅋㅋㅋ 촌것들이나 전라도 홍어 년들은 틀딱이라고 지랄하겟지ㅋㅋㅋㅋ 나는 강남그지여서 탈출 못하는중ㅠㅠ 시팔ㅠ,0,0,0,1,0,0,0,0,0,0
진중권 이준석한테 개발리네 ㅋㅋㅋ,0,0,0,0,0,0,1,0,0,0
경상도에서 문재인칭찬하면 얼굴에 침뱉는다,0,0,0,1,0,0,0,0,1,0
ㅅㅂ 흑인비율 상태가??? 이래도 다문화랑께 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,0,0,0,0,0,0,0,0
전라도 ! 그것도 광주,0,0,0,1,0,0,0,0,0,0
송파옆에 위례인지 동탄인지 씹창난 맘충 도시 아니냐?ㅋㅋ ㄹㅇ 송파가?강남 집값이 50퍼 올라도 재앙이 씹기 바쁜데,0,0,0,1,0,0,0,0,1,1
쌍도 클라스가 그렇지 뭐 ㅋ,0,0,0,1,0,0,0,0,0,0
여긴 교회가 아닌데 김기동이는 목사가 아닌데 제2의 신천지 집단인데,0,0,0,0,0,0,1,0,0,0
내생각에는 조만간 조선족사냥꾼을 만들어야 되지 않겠노 소대단위로 조직해서 조선족 두당얼마해서 사냥터를 열어야된다고 생각한다,0,1,0,0,0,0,0,0,0,0
기독교랑 중국이랑 뭐가 다른지 모르겠음,0,1,0,0,1,0,0,0,0,0
"ㄹㅇ 피는 못속임ㄹㅇ홍어,하프홍어,쿼터홍어 주변에서 다 잘라냈다",0,0,0,1,0,0,0,0,0,0
근데 왜 108위냐? 평가 내용 보니까 여성교육인가 그것도 100위 근처던데 기준이 뭔데 그러지 진짜,0,0,0,0,0,0,0,1,0,0
