문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
중고딩이면 김치녀라도 상관없는데 ㅎㅎ물논 24넘으면 알아서 사라져야함,0,0,1,0,0,0,0,0,0,1
안치면서 치는 척 하는 의도가 뭐노? 이러면 뭐 얻는 게 있노?,0,0,0,0,0,0,0,1,0,0
예수처럼 40일단식기도해라. 여자가 100명은 줄서 있을거다.,0,0,0,0,1,0,0,0,0,0
박근혜 석방하기 vs 박근혜랑 뜨거운 하룻밤틀딱들 고추서면 닥후골랐음,0,0,1,0,0,0,0,0,1,0
시발 소설써도 일배가네?? 저기선 뭐라고하냐 여기 일배가,0,0,0,0,0,0,1,0,0,0
"개씹좆같은 똥꼬충새끼들이라고 안한걸 감사하게 여겨야지 역겨운새끼들혐오감 조성, 에이즈 전파, 세금 축냄, 사람 죽음으로 몰아감이 개새끼들은 이로운 점이 단 한가지도 없음",1,0,0,0,0,0,0,0,0,0
착짱이 될번 했노,0,1,0,0,0,0,0,0,0,0
아니 교회가 아니면 사이비 종교까지도 그들버는 돈이 얼마인데 세금은 한푼안내고 되려 그들한테 돈주면 기부했다고 세금도 깍아준다 웃겨 문제가 많았던 구원파는 어떻게 사이비 처리됐냐 아님 아직도 그들한테 돈주면 세금깍아주고 있냐,0,0,0,0,1,0,0,0,0,0
안그래도 지구 온난화라서한국도 곧 열대어 잡히고 똥남아 될 거 같은데어울리네!,0,1,0,0,0,0,0,0,0,0
았...나 지금 뭘 읽은거니,0,0,0,0,0,0,0,1,0,0
이상 막돼먹은 똥통학교급식충의 학교소개였어,0,0,1,0,0,0,0,0,0,0
기억해둘테니 꼭 보자구~ㅋ,0,0,0,0,0,0,0,1,0,0
우리 아이들을 지켜주세요! 동성애자분들 꼭 탈동성애하셔서 진정한 행복을 누리시기 바랍니다.,1,0,0,0,0,0,0,0,0,0
짱캐좃선족들은 그냥 밀고가던데,0,1,0,0,0,0,0,0,0,0
소원은 일기장에...,0,0,0,0,0,0,0,1,0,0
저 맘충도 결국은 광주인데 정부에서 안 보호해주냐??,0,0,0,1,0,0,0,0,0,1
영국페미들 그래도 자기들은 책임없다고 지랄하겠지? 저년들이 따먹혀야한다!,0,0,0,0,0,0,0,0,0,1
한남들 마음에 안들면 재기하지 왜 괜히 사람한테 부랄이노? 애초에 온갖 수모 다 겪게 한 게 한남충들인데ㅉ 한남충들은 저분들이 여태 살려둔 거에 감사하고 어서 민폐 그만끼치고 재기해여하는거노 ㅉㅉ,0,0,0,0,0,0,0,0,0,1
자지들은 애초에 뭘 하려고 하질 마라. 좀. 다시 말한다. 좆들은 감히 목표란 것을,0,0,0,0,0,0,0,0,0,1
주연이형 페미는 정신병이야 성차별이 아니야,0,0,0,0,0,0,0,0,0,1
홍어가 출장나왔나?,0,0,0,1,0,0,0,0,0,0
염색채는 그대로 남자인걸~~ 이게 여자야??... 제발 억지부리지말길....,1,0,0,0,0,0,0,0,0,0
얼굴로 후려쳐서 죽이는거라 저 새끼 얼굴이 저렇게 찌그러진거노ㅋㅋㅋㅋㅋㅋ 이거 오피셜이니까 알아둬라 저 유충 얼굴로 사람들 때려 죽이는 살인마다이기,0,0,0,0,0,0,0,0,0,1
맘충새끼들 지 새끼들 피해볼건 생각 안하네 ㅋ,0,0,0,0,0,0,0,0,0,1
꽃이아니라 꽃뱀같다,0,0,0,0,0,0,0,0,0,1
인하대 아태다닌다 인증하고 부심부리기 가능?,0,0,0,0,0,0,0,1,0,0
딱히 얻을 이득은 없고 위험부담만 있으니까 그렇지. 개입한다고 하더라도 완전히 뿌리뽑는다는 보장도 없고 말이지.,0,0,0,0,0,0,0,1,0,0
맘충들 씨발 남편이 싸대기 한대 때리면 뒤도 안 보고 이혼할 년들이김정은한테는 아주 포용력이 태평양이네ㅋㅋㅋ,0,0,0,0,0,0,0,0,0,1
동성애는 우리 자녀들에게 건강하지 못한 영향줍니다 반대합니다,1,0,0,0,0,0,0,0,0,0
영화네 영화 ㅅㅂ...,0,0,0,0,0,0,1,0,0,0
자집애들은 짐승인 쀼.젤.라.또.,0,0,0,0,0,0,0,0,0,1
전라도 교수 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,1,0,0,0,0,0,0
홍어가 만선이다.,0,0,0,1,0,0,0,0,0,0
