문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
근데진심 광화문충보다비쥬얼압살똥꼬>>>>>>>>>>>>>광화문,1,0,0,0,0,0,0,0,0,0
똥꼬충이노ㅋㅋㅋㅋㅋ,1,0,0,0,0,0,0,0,0,0
꼭 똥꼬팬티입고 퀴어축제를 해야하나요? 당신들 자식이 소중하듯 내자식도 소중합니다.,1,0,0,0,0,0,0,0,0,0
6.25 처음부터 지상군의 핵심은 조선족출신 중공군임중공군의 개입은 침략의 처음부터 였다그런 조선족들의 후손이 지금 동포라고 대우해달라면서 대한민국에 기생하는 조선족이다,0,1,0,0,0,0,0,0,0,0
개슬람새끼들은 폐경년들도 안가리네 대단하다,0,0,0,0,1,0,0,0,0,0
코란이뭔데?,0,0,0,0,0,0,0,1,0,0
좆중고딩 금지시키자는게 요런 이유때문에 아니겄노,0,0,1,0,0,0,0,0,0,0
돈고춘은 뒤져도 돼!,1,0,0,0,0,0,0,0,0,0
0랩새끼 어스름한 틈을 타 탈출했구만 다시 느그 우리로 가라,0,0,0,0,0,0,1,0,0,0
트랜스젠더.성소수자를 색안경끼고 보는것이 아니라..아니라고 말하는거고 다름이 아니라 틀렸다고 말하는거다..당신이 그게 본인의 선택이고 인권이라고 얘기하는거처럼 나는 ..또는 많은 이들은 병이다라고 얘기하는거고 아니라고 얘기하는거다..,1,0,0,0,0,0,0,0,0,0
기자야 너한티 물어보자. 너네 기자중 성전환하는 사람있으면 환영할래? 남자가 여자로 성전환하면 같이 목욕탕갈수있냐?,1,0,0,0,0,0,0,0,0,0
7급 사랑해!,0,0,0,0,0,0,0,1,0,0
차별금지법 통과되면 이나라는 답이 없다 문씨랑 민주당놈들이 대한민국을 개 박살내는구나 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1,0,0,0,0,0,0,0,1,0
ㅇㄱㄹㅇ 토할 거 같다ㅋㅋㅋㅋ 역겨운 똥꼬충놈들,1,0,0,0,0,0,0,0,0,0
좀만더크면 좆집으로쓰려고하는거임 게이새끼들,1,0,0,0,0,0,0,0,0,0
구속기소가 뭐냐? 감빵 안간다는거냐?,0,0,0,0,0,0,0,1,0,0
감사합니다 이런 중요한 문제들을 덮으려고만하는건 사람들을 더 망가뜨리는 결과만 초래하겠죠 우리나라가 동성애의 심각성을 드러내서 알게 하는게 에이즈치료 지원하는것보다 더 시급하고 중요하다는 생각이 듭니다 소잃고 외양간 고치기보다 미리 방지하는게 더 현명하다고 봅니다,1,0,0,0,0,0,0,0,0,0
