text,clean,개인지칭,기타혐오,성별,성소수자,악플욕설,연령,인종국적,종교,지역
전라도 사투리 들으니까 정감가네요,1,0,0,0,0,0,0,0,0,0
강호동 사투리사용하는거 너무 불편해,0,1,0,0,0,0,0,0,0,1
기지배냐? 남자새끼가 무슨 머리를 길러 존나 여성스럽노,0,0,0,1,0,0,0,0,0,0
민트초코 그딴 거 왜먹냐 그거 먹을 바엔 치약 짜먹지 너는 꼭 부모님이 밥해줘도 밥에다 치약 비벼먹는다고 해라,0,0,0,0,0,1,0,0,0,0
"박해진, 허경환은 확실히 경상도쪽 얼굴인듯, 수지랑 구하라는 확실히 호남쪽 얼굴이고
근데 진짜 지역마다 그쪽 얼굴상이 있는듯.",0,1,0,0,0,0,0,0,0,0
하리수 진짜 역겨워 솔직히 연예인되고 관심끌고 싶어서 성전환수술받고 나온거 아니냐,0,1,0,0,0,0,0,0,0,0
쟤 또 단발병도졌나 ㅋㅋ 단발한다고 고준희되는거아니다,0,1,0,0,0,1,0,0,0,0
ㅇㅇ이는 모델치고는 좀 살집이 있는 편이야,0,1,0,0,0,1,0,0,0,0
그녀는 여자인 내가 봐도 이쁘고 매력있다.,1,0,0,0,0,0,0,0,0,0
연령이 높고 낮음에 차별이 많은데 크리에이터 박막례 할머니를 보면 노인들이 접 할 수 있는 경험이 적어보임,0,1,0,0,0,0,0,0,0,0
히틀러가 왜 흑인을 사람취급 안했는지 알겠다.,0,1,0,0,0,0,0,1,0,0
부먹이든 찍먹이든 먹는 사람이 맛있으면 그만이지 뭘 자꾸 싸움붙여 그리고 원래 중국집 가면 볶아서 바로 나오는 게 정석인데 배달 때문에 부먹 찍먹 얘기 나온거지 의미없어,1,0,0,0,0,0,0,0,0,0
혜은이는 좋던 시절 다 가고 풍채가 우짜다 저리됐노 슬프다.,0,1,0,0,0,0,0,0,0,0
손잡고 다니면 여자들은 그럴수 있지만 남자들은 백퍼임. 밖에선 손잡고 있어도 집에선 다른데 잡고 놀고 있겠지,0,0,0,0,1,0,0,0,0,0
서xx새끼 다리 짧고 배 나와서 폴로티 입으면 배꼽티 됨. 여름에 보고 눈깔 파버리고 싶었음.,0,1,0,0,0,1,0,0,0,0
소녀시대 효연... 지금은 그나마 예뻐진거야. 데뷔때에는 진짜 완전 개오크였지 아마...,0,1,1,0,0,0,0,0,0,0
이국주 면상 보면 진짜 토할거 같다,0,1,0,0,0,1,0,0,0,0
응 다음 배리나~ 너같은 쿵쾅이는 사절~,0,1,1,0,0,0,0,0,0,0
"나이가 어리면 어른이 맞다고 하는걸 좀 들어야지 살아온지 얼마나 됐다고 자꾸 따박따박 말대꾸하냐
사회적으로 경험을 더 많이 한 어른들을 좀 보고 배워라",0,0,0,0,0,0,1,0,0,0
나이가 제일 어린 사람이 일단 예약을 해야지... 자리도 잡고. 세팅도 다 하고 결재는 부장님이 다 해주실거야,0,0,0,0,0,0,1,0,0,0
이거 문과는 절대 이해 못 할 듯 ㅋㅋㅋ,0,0,1,0,0,0,0,0,0,0
젊은 애들은 개인주의다,0,0,0,0,0,0,0,0,0,0
생리통엔 참지말고 약을 먹어야지,1,0,0,0,0,0,0,0,0,0
직장생활 어렵다고 하는 여자들 군대에서 좀 굴러봐야 정신차리지,0,0,0,1,0,0,0,0,0,0
흑인들은 아시아 사람들보단 키가 크지,0,0,0,0,0,0,0,1,0,0
이탈리아 새끼들은 여자를 너무 밝혀서 음흉하기 짝이 없어,0,0,0,0,0,0,0,1,0,0
히틀러는 유대인이 아니라 중국인을 죽였어야 했다.,0,1,0,0,0,0,0,1,0,0
"고기를 먹다니 참... 원시시대나 가능한 일 아니에요? 
동물도 사람 못지 않은 권리가 있다구요. 
사람 생명을 존중한다면 동물의 생명도 존중해야 하는 겁니다. 
비건이야말로 진화된 인간이라는 증거라구요. ",0,0,1,0,0,0,0,0,0,0
아오 코 왜저렇게 생김 한대 쥐어박고싶게 생겼네,0,0,1,0,0,1,0,0,0,0
피부색 달라도 다 같은 사람이지  동양인 여성 남성의 유전자 차이가 동양인 여성과 서양 여성의 유전자 차이보다 크다함 유전적으로 같은 성별이면 인종 차이는 크지 않음,1,0,0,0,0,0,0,0,0,0
"야. 우리 행보관, 짬밥 자랑하는 건지 지 말이 맞대요. 콘크리트충이 따로 없다니까.",0,1,0,0,0,0,0,0,0,0
정말 수지는 TV화면보다 실물이 더 예쁜거 같아. 저번에 가까이서 얼굴 본적 있는데 심쿵해서 미치는줄 알았어.,1,1,0,0,0,0,0,0,0,0
경상도 한남들이 그렇게 성매매 많이한다는게 실화? 집에서 배운게 가부장이라 결혼하면 손하나 까딱 안한대ㅋㅋ 결혼하면 여자는 거의 노예 아니냐,0,0,0,0,0,0,0,0,0,1
백인들 솔직히 백인이 아니라 홍인아닌가요?,0,0,0,0,0,0,0,1,0,0
