문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
딱 씹선비스럽게 자랐노 ㅋㅋ,0,0,0,0,0,0,0,1,0,0
명예 로마 제국 시민으로써 개슬람 ㅆㄲ들 존나 다 쳐 죽이고 싶다좆슬람 개씹ㅆㄲ들이 대제국 로마를 역사의 뒤안길로 사라지게 만들었지 개씨발련들........ㅂㄷㅂㄷ,0,0,0,0,1,0,0,0,0,0
시대에 관계없이 냄져라는 괴이한 생명체는 사람에게 해만 끼친다이기.,0,0,0,0,0,0,0,0,0,1
자유주의 자본주의가 서민 인생 씹창나게하고있으니 무슬림같이 교리가 곧 인생인 신도들이 점점 늘어나는거지,0,0,0,0,1,0,0,0,0,0
역시 빤스목사,0,0,0,0,1,0,0,0,0,0
한남을 보고 성적욕망이 어떻게 든다고 고소를 하노......어휴.....너네보고 흥분할 사람 없다이기,0,0,0,0,0,0,0,0,0,1
뭐가 외롭고 험난하다는 것인지요? 정부와 보조를 맞추어 가는데....,0,0,0,0,0,0,0,1,0,0
저런거짓말장이가 목사라니 남의목숨 따윈 안중에 없는 것들,0,0,0,0,1,0,0,0,0,0
사람다 쳐밟아 죽인 악마가 아들 목사됨을 좋아하는걸 보면 확실히 목사가 악마네,0,0,0,0,1,0,0,0,0,0
사위될사람은 저런소리들으면 결혼접어야지...설마저러고 결혼한건 아니겠지?,0,0,0,0,0,0,0,1,0,0
개독새끼가 뭐라고 하는지 잘 모르겠네..ㅎㅎ,0,0,0,0,1,0,0,0,0,0
"종교로 가장한 사이비 미친 집단. 내가 믿느것 말곤 다 틀렸고, 죽여도 상관없다 를 외치는 미친종교. 세계악들이 넘쳐 흐르는군. 우리나라 위아래를 시작으로",0,0,0,0,1,0,0,0,0,0
6. 당연 씨발년들 성형으로 면상 다 갈아엎으니까 전국 각 지방에서 예쁜 여자들 서울로 다 모이니까 글고 인구가 많다보니 못생긴 년들도 그만큼 많음,0,0,0,0,0,0,0,0,0,1
윾입파티하노? 언제적 성님성님같은 ㅎㅌㅊ워딩쓰고있노? 요즘 왜자꾸 뒤진 똥갈 불러오기해낸 분위기고 좆팔,0,0,0,0,0,0,1,0,0,0
자리에 피하는게 상책이지 히잡만쓴거보고 사람들 빡돌아서 증오범죄로 이어질수도있음,0,1,0,0,1,0,0,0,0,0
한국도 불체자 대상으로 하는 아우슈비츠나 비르케나우같은 수용소건설이 시급한거 같다,0,1,0,0,0,0,0,0,0,0
이런 와중에 예배 참석하는 사람들은 뭐지? 우리나라는 사이비 단체 종교가 문제다! 민폐여~~코로나19 로 다들 제정신이 아닌듯?,0,0,0,0,1,0,0,0,0,0
마굿간 콜걸 사생아 생일 왜 챙기냐 진짜,0,0,0,0,1,0,0,0,0,0
의대 생들이 토왤베미통닭하는짓을 똑같이 함 일베ㅇ협이 흐는짓,0,1,0,0,0,0,0,0,0,0
조선족과 중국인들 일부가..댓글 조작이라..ㅠㅠ,0,1,0,0,0,0,0,0,0,0
개독이나 좆슬람이나 본질적으로 사막잡신 빠는건 다를바가 없으니까 그렇지,0,0,0,0,1,0,0,0,0,0
오지마 시발 개슬람 종자년놈들아,0,1,0,0,1,0,0,0,0,0
