문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
버퍼링 씨발 좆나 올만이네,0,0,0,0,0,0,1,0,0,0
진짜 목사님이시네요,0,0,0,0,0,0,0,1,0,0
부끄러워 할 줄 모르는 ....  지옥이 답이네,0,0,0,0,0,0,1,0,0,0
영화 만들다 너무 힘들어서 길 가는 힘 없는 사람 하나 죽일까. 길고양이 때려죽일까...했다는 인터뷰보고 쓰레기라 생각했다.,0,0,0,0,0,0,1,0,0,0
젠더 동성애 문제다,1,0,0,0,0,0,0,0,0,0
한국은 가슴 이런식인것같노 ㅇㅇㅋㅋㅋ 그리고 미드유명한건 여혐좆나들어가있다익이야 ㅋㅋㅋㅋ,0,1,0,0,0,0,0,0,0,0
자전거 관리해야겠노 시바거 자전거 훔쳐가면 1+1으로 새자전거가 온당껰ㅋㅋㅋㅋ,0,0,0,0,0,0,1,0,0,0
궁금한대 국민청원도 주작가능하냐? 시발 200만이라는 숫자는 갑자기 어디서 튀나온겨?,0,0,0,0,0,0,1,0,0,0
사스가 오타줄 알았네 ㅋㅋ,0,0,0,0,0,0,0,1,0,0
소추묻었노 추카한다이기야 ㅋㅋㅌ,0,0,0,0,0,0,1,0,0,0
두번째 내스탈이얌ㅎㅎ,0,0,0,0,0,0,0,1,0,0
하 머가리 따서 안에 뭐들었나보고싶다,0,0,0,0,0,0,1,0,0,0
종교도 다 정치여 ㅋㅋㅋ 상류층 새끼들이 목사가 돈 꽁치고 거짓부렁이 지껄이는 거 몰라서 교회 열심히 가냐 ㅋㅋ 다 인맥 쌓으러 가는 거지 ㅋㅋ,0,0,0,0,1,1,0,0,0,0
샤이천지. 시인천지는 어디 없냐?,0,0,0,0,1,0,0,0,0,0
거친톱으로 대가리 쓱싹쓱싹 밥 어딧노~,0,0,0,0,0,0,1,0,0,0
여혐살인 공론화보다 워마드인지 아닌지 가리는 게 중요하다이기야,0,0,0,0,0,0,0,1,0,0
교회가 썩어서 그래요 돈돈돈,0,0,0,0,1,0,0,0,0,0
늙은이새끼들은 다 죽여야되ㅋㅋ세금 공기만축내고 민폐만끼치는 벌레새끼들ㅋㅋㄱㅋ,0,0,1,0,0,0,0,0,0,0
재기는 재기의 신이다. 재기영역의 재기라서 아무도 재기는못따라가노,0,0,0,0,0,0,0,0,0,1
이슬람국가에서 저딴소릴 한게 잘못임.,0,0,0,0,0,0,1,0,0,0
그냥 쯧쯧하다 오지 왜 저지랄했누,0,0,0,0,0,0,1,0,0,0
나도 가끔 저런거 보면 낭떨어지로 몰고가서 밀어버리고싶음,0,0,0,0,0,0,1,0,0,0
주님 어서오세요. 세상이 살기 힘듭니다.,0,0,0,0,0,0,0,1,0,0
똥꼬충 새끼들이 여자인척하면서 이퀄리즘으로 여자들한테 물타기시전하는거 역겹노 이기야ㅋㅋㅋ,1,0,0,0,0,0,0,0,0,0
글쓴게이야 혹시 변호사 와서 뭐라고 하지 않았나? 아까 트위터보 일게이들 사진 찍는다고 ㅈㄹ 했음,0,0,0,0,0,0,1,0,0,0
웅웅 알았어용~~ 이빨 몇개뽑고 보빨하자 애기~~ 자꾸 김치좆마냥 굴면 예쁨 못 받는다했지~?,0,0,0,0,0,0,0,0,0,1
근데 기독교는 동성애자 반대하니깐 동성애 만연안돼서 좋고 상태가 더욱 정립될 것으로 보임,1,0,0,0,0,0,0,0,0,0
ㅅㅂ 궁 장전,0,0,0,0,0,0,1,0,0,0
백신 1억병 구한 일본 vs 주사기만 4천만개 구한 한국 ㅋㅋ,0,0,0,0,0,0,1,0,0,0
무고로 밝혀져도 계속 그에대한 변명이 아닌 해명을 하면서 살아갈 사람들을 생각하면 무고죄는 엄히 다스려야합니다.,0,0,0,0,0,0,0,1,0,0
멋지게 반박은 해주고 정신승리 시전하게 만들어줘야지방구석에서 혼자 정신슨라 시전하노,0,0,0,0,0,0,1,0,0,0
유아동 자녀 지원금 그거 안받을테니까 목사들 주세요 통장에 돈이 차야지 이런 개소리를 못하지,0,0,0,0,1,0,0,0,0,0
저런 좃병신 새끼들은 어디가면 보냐?아직 내 주위에선 못봐서 궁금하다이기,0,0,0,0,0,0,1,0,0,0
솔직히 n번방이랑 코로나는 정보 접근자체가 달라서그래. 코로나는 현실인데  번방은 이번에 알게된게 대다수라,0,0,0,0,0,0,0,1,0,0
이건 돈받는애들 빼고 페북에서 남녀노소 다 욕하던데 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0,0,0,1,0,0
2번째 두손 모으고 얌전히 서있는놈 근무군무 꼴리^노^ 벗겨다가 엉덩이 채찍질 해주노 싶다 이기야,0,0,0,0,0,0,1,0,0,0
으이그~~~~~~!!!! 쯧쯧,0,0,0,0,0,0,1,0,0,0
생각없는 놈들 사이에서 정상남으로 살기 힘드시죠? 그래도 이런분들 덕분에 세상이 변합니다,0,0,0,0,0,0,0,1,0,0
고양이미워하지마라 홍어새끼들아,0,0,0,1,0,0,0,0,0,0
하나같이 와꾸가 씹창났노. 재기해라 이기야;;,0,0,0,0,0,0,1,0,0,0
좆나 1000만 대작 나올듯ㅋ기,0,0,0,0,0,0,1,0,0,0
못배운 상태에서 뭔가를 비판하려 하지마라,0,0,0,0,0,0,1,0,0,0
씨ㅣㅅ펄..트젠이 여자지.남자냐?? 불리할땐 평등요구하면서.실제로는 배척하는 나쁜 여자들.나도 여자지만.이건아니다 트젠은 입학해서 공부하지.왜???포기한거야??보란듯이 입학해서 싸워야지??무너졌을 그 마음 응원하고 힘내세요!!!여자들도 군대가야해!!!!@!,1,0,0,0,0,0,0,0,0,0
개한심하노 ㅋ 뇌나 좆이나 다 유충때 성장 멈췄노ㅋㅋ,0,0,1,0,0,0,0,0,0,1
권리만 있지 과연 책임까지 지려할까요~ 관혼상제는 예법보다 지방이나 집안 역사에 맞추어 살도록 놔주세요...집안 대소사도 국가가 관리해야됩니까?,0,0,0,0,0,0,1,0,0,0
개독.... 아마게돈의 시작,0,0,0,0,1,0,0,0,0,0
토착왜구들 : 빨리 한국이 망해야..,0,1,0,0,0,0,0,0,0,0
하하 이름만 들어도 토나오노 구웨에에엑,0,0,0,0,0,0,1,0,0,0
잔재? 씨발 그냥 산이나 무인도 들어가서 살아야지.. 거울보면서 몽골 잔재도 따지냐? 언제까지 븅신같이 일제잔재 따지는데ㅋㅋ,0,0,0,0,0,0,1,0,0,0
사우디가 제일많이받앗는데 뭔소릴하는거야 ㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0,0,1,0,0,0
집25평차 아반떼생계비 월 200다줘도....애들은 또한다,0,0,0,0,0,0,0,1,0,0
아 진짜 존나 싫다 시발,0,0,0,0,0,0,1,0,0,0
내 세금으로 시발,0,0,0,0,0,0,1,0,0,0
이 정권이니까 이런 댓글들 달아도 목숨 부지하는걸 아시는지.. 그전 같았으면 다들 끌려가서 물고문 받을사람들이데 지금 이 나라가 고마은줄을 모르시네요,0,0,0,0,0,0,0,1,0,0
쌍도롬들 내한테 부랄빵 6969번 쳐맞아야 정신차리제,0,0,0,1,0,0,0,0,0,0
DIA는 국방정보국아냐?,0,0,0,0,0,0,0,1,0,0
발정났盧?,0,0,0,0,0,0,0,1,0,0
사진 멋진데,0,0,0,0,0,0,0,1,0,0
지금 이미 난리남,0,0,0,0,0,0,0,1,0,0
특정인한테 허는거 아니면 고소 ㄴㄴ 한남충이 고소면 맘충은 나라 2/3가 고소 당했다,0,0,0,0,0,0,1,0,0,0
다들표정흑좆나 편안한 쀼젤ㅋㅋㅋz,0,0,0,0,0,0,1,0,0,0
나도 성소수자란 단어가 좆같았어,1,0,0,0,0,0,0,0,0,0
그 사진속에 기형아 소추남 조온나 등신 개찐따처럼 생겼던데 무슨 잘생긴 놈만 한다는 거노?????? 지금 내가 뭘 보고 있는 거노??,0,0,0,0,0,1,0,0,0,1
인구절벽 이지랄 앞으로 신입들 충원 좆같이 되서 촉탁직 겁나 티오 쏟아질듯 ㅋㅋㅋㅋ,0,0,0,0,0,0,1,0,0,0
러시아 선박이나 외국인들 입국해서 확진자 나오면 백신 임상실험하면 되겠네 걔들데리고ㅎ,0,1,0,0,0,0,0,0,0,0
고차원적으로 변형된 변태다. 여탕 갈려고 그러지ㅡㅡ,0,0,0,0,0,0,1,0,0,0
응?? 회사도 안가는 휴일에 왜 급하게...??? 아항 ^^,0,0,0,0,0,0,1,0,0,0
시팔새끼들이 말하는 뽄새보이 밥빌어 쳐묵겄다 정권바뀌니 저거세상인줄 아네,0,0,0,0,0,0,1,0,0,0
꼬추가 숨막힐거같다고 생각들정도다,0,0,0,0,0,0,1,0,0,0
짱깨벌레새끼들 멀티답노,0,1,0,0,0,0,0,0,0,0
아니시발 트젠이라고 말안했으면 알았겠냐고 ㅋㅋㅋㅋ,0,0,0,0,0,0,1,0,0,0
처음에는 그냥 정상적으로 섹스해준거네?한번 더 먹어볼려는 욕심이 화를 불렀구나,0,0,0,0,0,0,1,0,0,0
사실상 여자가 남자를 이길 수 있는 신체활동은 섹스뿐 ㄹㅇ,0,0,0,0,0,0,0,0,0,1
ㅋㅋㅋㅋㅋㅋㅋ이게맞지 여대에 남자가우찌학교를다닐려그러노??,1,0,0,0,0,0,0,0,0,0
브금 ㅅㅌㅊ,0,0,0,0,0,0,0,1,0,0
저거 부대마크도 나오면 고발가능한데,0,0,0,0,0,0,0,1,0,0
겁낼거 없다. 이나라 문슬람들이 더 미개하다.,0,0,0,0,1,0,0,0,0,0
그냥 반대목소리 내라는 존나 단순한 글을 왜 이렇게 장황하게 써갈겨놨냐,0,0,0,0,0,0,1,0,0,0
숏컷 여대만 걸러도 80%는 성공한거임,0,0,0,0,0,0,0,0,0,1
내가 돈만 많았어도 제2의 성재기 할텐데 시발,0,0,0,0,0,0,1,0,0,0
남자도 후장에 여자처럼 오르가즘을 느낄 수 있는 성감대가 있는데 한번쯤은 느껴보고싶다. 누가 내 똥꼬에 박아줄사람?,1,0,0,0,0,0,0,0,0,0
선동이지 저런말하면 이미지 나빠지는데,0,0,0,0,0,0,1,0,0,0
어!! 나 아는 놈이다. 더러븐 놈이라 소문 내고싶은데 소문 내면 나 일밍하는거라 어떻게 주변에 알려야하지?,0,0,0,0,0,0,1,0,0,0
그냥 모 좆같았던거 다 얘기하는거네 ㅎㅎ 만지거나강제로한건 하나도없는데?!,0,0,0,0,0,0,1,0,0,0
이래서 난민 개슬람새끼들은 안 돼,0,1,0,0,1,0,0,0,0,0
크 정의구현...,0,0,0,0,0,0,0,1,0,0
섰다...,0,0,0,0,0,0,1,0,0,0
북한에 자원이 있긴 있노 이니야 ㅎㅎ,0,0,0,0,0,0,1,0,0,0
나는 키 182라 이런글볼때마다 웃음만 지을뿐 ㅎ....ㅎ사실 182도 희소함.여자들 내 키 184 185 이정도로 암 ㅋㅋ 키 엄청크다고,0,0,0,0,0,0,0,1,0,0
정신못처리게 하려고 자꾸 건수도 없는거 이런 저런 말도 안되는걸로 카운터 펀치 날리고 있네..,0,0,0,0,0,0,1,0,0,0
진짜페미들이 남성혐오 하는거 아니래잖아 가짜페미들아,0,0,0,0,0,0,0,0,0,1
빛과어둠의 찐따 일찐 버전이노 빛의일찐,0,0,0,0,0,0,1,0,0,0
차별금지법 제정이 시급하다,0,0,0,0,0,1,0,0,0,0
